service,port
http,80
ssh,22
telnet,23
route,520
smtp,25
ms-wbt-server,3389
pop3,110
microsoft-ds,445
netbios-ssn,139
imap,143
domain,53
msrpc,135
mysql,3306
http-proxy,8080
pptp,1723
rpcbind,111
pop3s,995
imaps,993
bakbonenetvault,20031
vnc,5900
radacct,1646
NFS-or-IIS,1025
submission,587
sun-answerbook,8888
smux,199
h323q931,1720
smtps,465
ms-lsa,1028
wdbrpc,17185
afp,548
ident,113
hosts2-ns,81
X11:1,6001
snet-sensor-mgmt,10000
shell,514
rockwell-csp2,2223
LSA-or-nterm,1026
cisco-sccp,2000
https-alt,8443
http-alt,8000
filenet-tms,32768
rtsp,554
rsftp,26
ms-sql-s,1433
dc,2001
printer,515
llmnr,5355
http,8008
IIS,1027
squid-ipc,3130
nrpe,5666
ldp,646
upnp,5000
pcanywheredata,5631
ipp,631
blackice-icecap,8081
kerberos-sec,88
finger,79
vnc-http,5800
pop3pw,106
ccproxy-ftp,2121
nfsd-status,1110
X11,6000
login,513
amanda,10080
ftps,990
wsdapi,5357
svrloc,427
klogin,543
kshell,544
admdog,5101
news,144
talk,517
ldap,389
ajp13,8009
squid-http,3128
snpp,444
sygatefw,39213
abyss,9999
airport-admin,5009
realserver,7070
aol,5190
ppp,3000
postgresql,5432
upnp,1900
mapper-ws_ethd,3986
daytime,13
ms-lsa,1029
ida-agent,5051
rsync,873
wms,1755
pn-requester,2717
radmin,4899
vrtstrapserver,1885
sentinel-lm,5093
nat-pmp,5351
jetdirect,9100
nntp,119
time,37
cadlock,1000
nessus,3001
commplex-link,5001
leoip,1886
landesk-cba,38293
xfer,82
rxapi,10010
iad1,1030
zeus-admin,9090
msmq-mgmt,2107
kdm,1024
zephyr-clt,2103
epnsdp,2051
X11:4,6004
msmq,1801
mmcc,5050
chargen,19
danf-ak2,1041
halflife,27015
neod2,1048
td-postman,1049
remote-as,1053
brvread,1054
vfo,1056
jstel,1064
syscomlan,1065
symantec-av,2967
adobeserver-3,3703
qotd,17
lansource,1485
ccproxy-http,808
rendezvous,3689
apertus-ldp,539
bo2k,54321
squid-snmp,3401
iad2,1031
dcutility,1044
bsquare-voip,1071
vnc-1,5901
newacct,100
jetdirect,9102
sbl,1039
icslap,2869
newoak,4001
xmpp,8010
cslistener,9000
rsvp_tunnel,363
eklogin,2105
ldapssl,636
candp,42508
mtqp,1038
zebra,2601
tcpmux,1
afs3-fileserver,7000
sometimes-rpc1,1012
ws-discovery,3702
icl-twobase4,25003
fpo-fns,1066
cognex-insight,1069
apple-xsrvr-admin,625
asip-webadmin,311
http-mgmt,280
cycleserv2,772
remoteanything,4000
landesk-rc,1761
filemaker,5003
globe,2002
x25-svc-port,1998
deslogin,2005
iad3,1032
Trinoo_Register,31335
java-or-OTGfileshare,1050
dtspc,6112
enl,1804
nati-logos,2343
ups-engine,3664
svn,3690
oracle,1521
Trinoo_Bcast,27444
bacnet,47808
apc-agent,2161
socks,1080
X11:2,6002
cvspserver,2401
iss-realsecure,902
lockd,4045
qsc,787
nsrexecd,7937
edonkey,4666
teedtap,559
nim,1058
ms-olap4,2383
sometimes-rpc5,32771
at-7,207
netinfo,1033
netsaint,1040
nimreg,1059
